level,start_ms,header,end_ms
2,175,القول في تأويل قوله تعالى: {وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون} [البقرة: 13],176
2,176,القول في تأويل قوله تعالى: {قالوا أنؤمن كما آمن السفهاء} [البقرة: 13],177
2,177,القول في تأويل قوله تعالى: {ألا إنهم هم السفهاء ولكن لا يعلمون} [البقرة: 13],178
2,178,القول في تأويل قوله تعالى: {وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون},181
2,181,القول في تأويل قوله تعالى: {إنما نحن مستهزئون},181
2,181,القول في تأويل قوله تعالى: {الله يستهزئ بهم ويمدهم في طغيانهم يعمهون} [البقرة: 15],186
2,186,القول في تأويل قوله تعالى: {ويمدهم} [البقرة: 15],187
2,187,القول في تأويل قوله تعالى: {في طغيانهم} [البقرة: 15],187
2,187,القول في تأويل قوله تعالى: {يعمهون} [البقرة: 15] قال أبو جعفر: والعمه,188
2,188,القول في تأويل قوله تعالى: {أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين} [البقرة: 16] قال أبو جعفر: إن قال قائل: وكيف اشترى هؤلاء القوم الضلالة بالهدى، وإنما كانوا منافقين لم يتقدم نفاقهم إيمان فيقال فيهم باعوا هداهم الذي كانوا عليه بضلالتهم,191
2,191,القول في تأويل قوله تعالى: {فما ربحت تجارتهم} [البقرة: 16] قال أبو جعفر: وتأويل ذلك أن المنافقين بشرائهم الضلالة بالهدى خسروا ولم يربحوا، لأن الرابح من التجار المستبدل من سلعته المملوكة عليه بدلا هو أنفس من سلعته أو أفضل من ثمنها الذي يبتاعها به. فأما المستبدل من,193
2,193,القول في تأويل قوله تعالى: {وما كانوا مهتدين} [البقرة: 16] يعني بقوله جل ثناؤه: {وما كانوا مهتدين} [البقرة: 16] ما كانوا رشداء في اختيارهم الضلالة على الهدى، واستبدالهم الكفر بالإيمان، واشترائهم النفاق بالتصديق والإقرار,193
2,193,القول في تأويل قوله تعالى: {مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون} [البقرة: 17] قال أبو جعفر: فإن قال لنا قائل: وكيف قيل: {مثلهم كمثل الذي استوقد نارا} [البقرة: 17] وقد علمت أن الهاء والميم من قوله: {مثلهم} [البقرة: 17] كناية جماعة من الرجال,200
2,200,القول في تأويل قوله تعالى: {صم بكم عمي فهم لا يرجعون} [البقرة: 18] قال أبو جعفر: وإذ كان تأويل قول الله جل ثناؤه: {ذهب الله بنورهم وتركهم في ظلمات لا يبصرون} [البقرة: 17] هو ما وصفنا من أن ذلك خبر من الله جل ثناؤه عما هو فاعل بالمنافقين في الآخرة، عند هتك أستارهم، وإظهاره فضائح,202
2,202,القول في تأويل قوله تعالى: {فهم لا يرجعون} [البقرة: 18],203
2,203,القول في تأويل قوله تعالى: {أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت والله محيط بالكافرين يكاد البرق يخطف أبصارهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصارهم إن الله على كل شيء,206
2,206,القول في تأويل قوله تعالى: {فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت والله محيط بالكافرين يكاد البرق يخطف أبصارهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا} [البقرة: 20] قال أبو جعفر: فأما الظلمات فجمع، واحدها ظلمة؛ وأما الرعد فإن أهل,216
2,216,وذلك تأويل قوله جل ثناؤه: {يجعلون أصابعهم في آذانهم من الصواعق حذر الموت} [البقرة: 19] يعني بذلك يتقون وعيد الله الذي أنزله في كتابه على لسان رسوله صلى الله عليه وسلم بما يبدونه بألسنتهم من ظاهر الإقرار، كما يتقي الخائف أصوات الصواعق بتغطية أذنيه وتصيير أصابعه فيها,218
2,218,ثم قال تعالى ذكره {كلما أضاء لهم} [البقرة: 20] يعني أن البرق كلما أضاء لهم، وجعل البرق لإيمانهم مثلا. وإنما أراد بذلك أنهم كلما أضاء لهم الإيمان وإضاءتهم لهم أن يروا فيه ما يعجبهم في عاجل دنياهم من النصرة على الأعداء، وإصابة الغنائم في المغازي، وكثرة الفتوح،,219
2,219,ويعني بقوله: {مشوا فيه} [البقرة: 20] مشوا في ضوء البرق. وإنما ذلك مثل لإقرارهم على ما وصفنا. فمعناه: كلما رأوا في الإيمان ما يعجبهم في عاجل دنياهم على ما وصفنا، ثبتوا عليه وأقاموا فيه، كما يمشي السائر في ظلمة الليل وظلمة الصيب الذي وصفه جل ثناؤه، إذا برقت فيها,219
2,219,القول في تأويل قوله تعالى: {ولو شاء الله لذهب بسمعهم وأبصارهم} [البقرة: 20] قال أبو جعفر: وإنما خص جل ذكره السمع والأبصار بأنه لو شاء أذهبها من المنافقين دون سائر أعضاء أجسامهم للذي جرى من ذكرها في الآيتين، أعني قوله: {يجعلون أصابعهم في آذانهم من الصواعق} [البقرة: 19] وقوله:,220
2,220,القول في تأويل قوله تعالى: {إن الله على كل شيء قدير} [البقرة: 20] قال أبو جعفر: وإنما وصف الله نفسه جل ذكره بالقدرة على كل شيء في هذا الموضع، لأنه حذر المنافقين بأسه وسطوته وأخبرهم أنه بهم محيط وعلى إذهاب أسماعهم وأبصارهم قدير، ثم قال: فاتقوني أيها المنافقون,221
2,221,القول في تأويل قوله تعالى: {يا أيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون} [البقرة: 21] قال أبو جعفر: فأمر جل ثناؤه الفريقين اللذين أخبر الله عن أحدهما أنه سواء عليهم أأنذروا أم لم ينذروا أنهم لا يؤمنون، لطبعه على قلوبهم، وعلى سمعهم وأبصارهم،,222
2,222,القول في تأويل قوله تعالى: {لعلكم تتقون} [البقرة: 21] قال أبو جعفر: وتأويل ذلك: لعلكم تتقون بعبادتكم ربكم الذي خلقكم، وطاعتكم إياه فيما أمركم به ونهاكم عنه، وإفرادكم له العبادة، لتتقوا سخطه وغضبه أن يحل عليكم، وتكونوا من المتقين الذين رضي عنهم ربهم. وكان مجاهد,223
2,223,القول في تأويل قوله تعالى: {الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم فلا تجعلوا لله أندادا وأنتم تعلمون},223
2,223,وقوله: {الذي جعل لكم الأرض فراشا} [البقرة: 22] مردود على الذي الأولى في قوله: {اعبدوا ربكم الذي خلقكم} [البقرة: 21] وهما جميعا من نعت {ربكم} [البقرة: 21] فكأنه قال: اعبدوا ربكم الخالقكم، والخالق الذين من قبلكم، الجاعل لكم الأرض فراشا. يعني بذلك أنه جعل لكم الأرض مهادا وموطئا وقرارا يستقر,223
2,223,القول في تأويل قوله تعالى: {والسماء بناء} [البقرة: 22] قال أبو جعفر:,224
2,224,القول في تأويل قوله تعالى: {وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم} [البقرة: 22] يعني بذلك أنه أنزل من السماء مطرا، فأخرج بذلك المطر مما أنبتوه في الأرض من زرعهم وغرسهم ثمرات رزقا لهم غذاء وأقواتا. فنبههم بذلك على قدرته وسلطانه، وذكرهم به آلاءه لديهم،,224
2,224,القول في تأويل قوله تعالى: {فلا تجعلوا لله أندادا} [البقرة: 22] قال,225
2,225,القول في تأويل قوله تعالى: {وأنتم تعلمون} [البقرة: 22] اختلف أهل,227
2,227,القول في تأويل قوله تعالى: {وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين} [البقرة: 23] قال أبو جعفر: وهذا من الله عز وجل احتجاج لنبيه محمد صلى الله عليه وسلم على مشركي قومه من العرب ومنافقيهم وكفار أهل الكتاب,228
2,228,ثم اختلف أهل التأويل في تأويل قوله: {فأتوا بسورة من مثله},232
2,232,القول في تأويل قوله تعالى: {فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي,233
2,233,القول في تأويل قوله تعالى: {فاتقوا النار التي وقودها الناس والحجارة} [البقرة: 24] قال أبو جعفر: يعني جل ثناؤه بقوله: {فاتقوا النار} [البقرة: 24] يقول: فاتقوا أن تصلوا النار بتكذيبكم رسولي بما جاءكم به من عندي أنه من وحيي وتنزيلي، بعد تبينكم أنه كتابي ومن عندي، وقيام الحجة عليكم,235
2,235,القول في تأويل قوله تعالى: {أعدت للكافرين} [البقرة: 24] قد دللنا فيما مضى من كتابنا هذا على أن الكافر في كلام العرب هو الساتر شيئا بغطاء، وأن الله جل ثناؤه إنما سمى الكافر كافرا لجحوده آلاءه عنده، وتغطيته نعماءه قبله فمعنى قوله إذا: {أعدت للكافرين} [البقرة: 24] أعدت النار,235
2,235,القول في تأويل قوله تعالى: {وبشر الذين آمنوا وعملوا الصالحات أن لهم جنات تجري من تحتها الأنهار كلما رزقوا منها من ثمرة رزقا قالوا هذا الذي رزقنا من قبل وأتوا به متشابها ولهم فيها أزواج مطهرة وهم فيها خالدون} [البقرة: 25] أما قوله تعالى: {وبشر} [البقرة: 25] فإنه يعني: أخبرهم.,237
2,237,القول في تأويل قوله تعالى: {كلما رزقوا منها من ثمرة رزقا قالوا هذا,239
2,239,القول في تأويل قوله: {وأتوا به متشابها} [البقرة: 25] قال أبو جعفر: والهاء في قوله: {وأتوا به متشابها } [البقرة: 25] عائدة على الرزق، فتأويله: وأتوا بالذي رزقوا من ثمارها متشابها وقد اختلف أهل التأويل في تأويل المتشابه في ذلك، فقال بعضهم: تشابهه أن كله خيار لا رذل فيه,243
2,243,القول في تأويل قوله تعالى: {ولهم فيها أزواج مطهرة} [البقرة: 25] قال أبو جعفر: والهاء والميم اللتان في لهم عائدتان على الذين آمنوا وعملوا الصالحات، والهاء والألف اللتان في فيها عائدتان على الجنات. وتأويل ذلك: وبشر الذين آمنوا وعملوا الصالحات أن لهم جنات فيها أزواج,245
2,245,القول في تأويل قوله تعالى: {وهم فيها خالدون} [البقرة: 25] قال أبو جعفر: يعني تعالى ذكره بذلك: والذين آمنوا وعملوا الصالحات في الجنات خالدون، فالهاء والميم من قوله {وهم} [البقرة: 25] عائدة على الذين آمنوا وعملوا الصالحات، والهاء والألف في فيها على الجنات، وخلودهم فيها: دوام,245
2,245,القول في تأويل قوله تعالى: {إن الله لا يستحيي أن يضرب مثلا ما بعوضة,249
2,249,وأما تأويل قوله: {إن الله لا يستحيي} [البقرة: 26] فإن بعض المنسوبين إلى المعرفة بلغة العرب كان يتأول معنى: {إن الله لا يستحيي} [البقرة: 26] إن الله لا يخشى أن يضرب مثلا، ويستشهد على ذلك من قوله بقول الله تعالى: {وتخشى الناس والله أحق أن تخشاه} [الأحزاب: 37] ويزعم أن معنى ذلك: وتستحي الناس والله,250
2,250,وأما تأويل قوله: {فما فوقها} [البقرة: 26] فما هو أعظم منها عندي لما ذكرنا قبل من قول قتادة وابن جريج أن البعوضة أضعف خلق الله، فإذا كانت أضعف خلق الله فهي نهاية في القلة والضعف، وإذ كانت كذلك فلا شك أن ما فوق أضعف الأشياء لا يكون إلا أقوى منه، فقد يجب أن يكون,251
2,251,القول في تأويل قوله تعالى: {فأما الذين آمنوا فيعلمون أنه الحق من ربهم وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا} [البقرة: 26] قال أبو جعفر: يعني بقوله جل ذكره: {فأما الذين آمنوا} [البقرة: 26] فأما الذين صدقوا الله ورسوله. وقوله: {فيعلمون أنه الحق من ربهم} [البقرة: 26] يعني فيعرفون أن,251
2,251,القول في تأويل قوله تعالى: {يضل به كثيرا ويهدي به كثيرا} [البقرة : 26],252
2,252,القول في تأويل قوله تعالى: {وما يضل به إلا الفاسقين} [البقرة: 26],253
2,253,القول في تأويل قوله تعالى: {الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما أمر الله به أن يوصل ويفسدون في الأرض أولئك هم الخاسرون} [البقرة: 27] قال أبو جعفر: وهذا وصف من الله جل ذكره الفاسقين الذين أخبر أنه لا يضل بالمثل الذي ضربه لأهل النفاق غيرهم، فقال: {وما يضل},257
2,257,القول في تأويل قوله تعالى: {ويقطعون ما أمر الله به أن يوصل} [البقرة: 27] قال أبو جعفر: والذي رغب الله في وصله وذم على قطعه في هذه الآية: الرحم، وقد بين ذلك في كتابه فقال تعالى: {فهل عسيتم إن توليتم أن تفسدوا في الأرض وتقطعوا أرحامكم} [محمد: 22] وإنما عنى بالرحم: أهل الرجل,258
2,258,القول في تأويل قوله تعالى: {ويفسدون في الأرض} [البقرة: 27] قال أبو جعفر: وفسادهم في الأرض هو ما تقدم وصفناه قبل من معصيتهم ربهم وكفرهم به وتكذيبهم رسوله، وجحدهم نبوته، وإنكارهم ما أتاهم به من عند الله أنه حق من عنده,258
2,258,القول في تأويل قوله تعالى: {أولئك هم الخاسرون,258
2,258,القول في تأويل قوله تعالى: {كيف تكفرون بالله وكنتم أمواتا فأحياكم ثم يميتكم ثم يحييكم ثم إليه ترجعون هو الذي خلق لكم ما في الأرض جميعا ثم استوى إلى السماء فسواهن سبع سموات وهو بكل شيء عليم} اختلف أهل التأويل في تأويل ذلك,266
2,266,القول في تأويل قوله تعالى: {ثم استوى إلى السماء فسواهن سبع سموات} قال أبو جعفر: اختلف في تأويل قوله: {ثم استوى إلى السماء} [البقرة: 29] فقال بعضهم: معنى استوى إلى السماء، أقبل عليها، كما تقول: كان فلان مقبلا على فلان ثم استوى علي يشاتمني واستوى إلي يشاتمني، بمعنى:,272
2,272,القول في تأويل قوله تعالى: {وهو بكل شيء عليم} [البقرة: 29] يعني بقوله جل جلاله: {وهو} [البقرة: 29] نفسه وبقوله: {بكل شيء عليم} [البقرة: 29] أن الذي خلقكم وخلق لكم ما في الأرض جميعا، وسوى السموات السبع بما فيهن، فأحكمهن من دخان الماء وأتقن صنعهن، لا يخفى عليه أيها المنافقون والملحدون الكافرون,272
2,272,القول في تأويل قوله تعالى: {وإذ قال ربك للملائكة إني جاعل في الأرض خليفة قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال إني أعلم ما لا تعلمون} [البقرة: 30] قال أبو جعفر: زعم بعض المنسوبين إلى العلم بلغات العرب من أهل البصرة أن تأويل قوله:,275
2,275,القول في تأويل قوله تعالى: {للملائكة} [البقرة: 30] قال أبو جعفر: والملائكة جمع ملك، غير أن واحدهم بغير الهمز أكثر وأشهر في كلام العرب منه بالهمز، وذلك أنهم يقولون في واحدهم ملك من الملائكة، فيحذفون الهمز منه، ويحركون اللام التي كانت مسكنة لو همز الاسم. وإنما,276
2,276,القول في تأويل قوله تعالى: {إني جاعل في الأرض} [البقرة: 30] اختلف أهل التأويل في قوله: {إني جاعل} [البقرة: 30] ، فقال بعضهم: إني فاعل,277
2,277,القول في تأويل قوله تعالى: {خليفة} [البقرة: 30] والخليفة الفعيلة، من,280
2,280,القول في تأويل قوله تعالى: {قالوا أتجعل فيها من يفسد فيها ويسفك الدماء} [البقرة: 30] قال أبو جعفر: إن قال قائل: وكيف قالت الملائكة لربها إذ أخبرها أنه جاعل في الأرض خليفة: {أتجعل فيها من يفسد فيها ويسفك الدماء} [البقرة: 30] ولم يكن آدم بعد مخلوقا ولا ذريته، فيعلموا ما يفعلون,294
2,294,القول في تأويل قوله تعالى: {ونحن نسبح بحمدك ونقدس لك} [البقرة: 30] قال أبو جعفر: أما قوله: {ونحن نسبح بحمدك} [البقرة: 30] فإنه يعني: إنا نعظمك بالحمد لك والشكر، كما قال جل ثناؤه: {فسبح بحمد ربك} [الحجر: 98] وكما قال: {والملائكة يسبحون بحمد ربهم} [الشورى: 5] وكل ذكر لله عند العرب فتسبيح وصلاة، يقول الرجل,296
2,296,القول في تأويل قوله تعالى: {ونقدس لك} [البقرة: 30] قال أبو جعفر: والتقديس هو التطهير والتعظيم؛ ومنه قولهم: سبوح قدوس، يعني بقولهم سبوح: تنزيه لله؛ وبقولهم قدوس: طهارة له وتعظيم؛ ولذلك قيل للأرض: أرض مقدسة، يعني بذلك المطهرة. فمعنى قول الملائكة إذا {ونحن نسبح,297
